domain,url_count,quality_score,cultural_relevance_score,confidence,reasoning,sample_urls
profgmedia.com,2,0.8,0.0,0.95,High-quality educational/financial content,https://profgmedia.com/no-mercy-=; https://profgmedia.com/chart-of-the-week/
newsletter.gorick.com,2,0.8,0.0,0.95,High-quality educational/financial content,https://newsletter.gorick.com/p/career-change-at-37; https://newsletter.gorick.com/p/ask-gorick-from-corporate-to-solopreneur
www.jhmediagroup.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://www.jhmediagroup.com
newsletter.epsilo=,1,0.8,0.0,0.95,High-quality educational/financial content,http://newsletter.epsilo=
fs.blog,1,0.65,0.0,0.95,High-quality educational/financial content,https://fs.blog/newsletter/?rh_ref=3D5e684429
newsletter.epsilontheory.co=,1,0.8,0.0,0.95,High-quality educational/financial content,http://newsletter.epsilontheory.co=
www.restaurantbusinessonline.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://www.restaurantbusinessonline.com/operations/farewell-let=
wwd.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://wwd.com/beauty-industry-news/beauty-features/ceremoni=
apnews.com,1,0.65,0.0,0.95,High-quality educational/financial content,https://apnews.com/article/middle-east-062e6baf13e774f30c4e697cb9f2=
www.yahoo.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://www.yahoo.com/news/20-foot-sea-wall-miami-120248771=
www.morningstar.com,1,0.6,0.0,0.8999999999999999,High-quality educational/financial content,https://www.morningstar.com/articles/868718/get-financial-advice-first-inve=
tracewealthadvisors.c=,1,0.8,0.0,0.95,High-quality educational/financial content,https://tracewealthadvisors.c=
sailthru-media.s3.amazo=,1,0.8,0.0,0.95,High-quality educational/financial content,https://sailthru-media.s3.amazo=
sailthru-media.s3.amazon=,1,0.8,0.0,0.95,High-quality educational/financial content,https://sailthru-media.s3.amazon=
sailthru-media.s3.amazonaws=,1,0.8,0.0,0.95,High-quality educational/financial content,https://sailthru-media.s3.amazonaws=
tt.loopnews.=,1,0.8,0.0,0.95,High-quality educational/financial content,https://tt.loopnews.=
www.creativebloq.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://www.creativebloq.com/news/m=
www.theguardian.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://www.theguardian.com/news/2022/may/26/mea=
www.bleepingcomputer.com,1,0.8,0.0,0.95,High-quality educational/financial content,https://www.bleepingcomputer.com/news/artificial-intelligence/h=
