domain,url_count,quality_score,cultural_relevance_score,confidence,reasoning,priority,sample_urls
bts.thinkific.com,27,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://bts.thinkific.com/courses/take/office-hour-recordings/texts/13000624-thursday-may-21st; https://bts.thinkific.com/courses/take/office-hour-recordings/texts/12962776-monday-may-18th; https://bts.thinkific.com/courses/take/office-hour-recordings/texts/13000438-tuesday-may-19th
calendar.google.com,27,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://calendar.google.com/calendar/event?action=3DVIEW; https://calendar.google.com/calendar/event?action=3DVIEW&eid=3DNzR1Y%3D; https://calendar.google.com/calendar/event?action=3DRESPOND
click.convertkit-mail4.com,27,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://click.convertkit-mail4.com/5qu0dpql5lt7hvpqnvmb7/owhkhqh49863ewfv/a=; https://click.convertkit-mail4.com/5qu0dpql5lt7hvpqnvmb7/08hwh9hme79o0dhl/a=; https://click.convertkit-mail4.com/5qu0dpql5lt7hvpqnvmb7/e0hph7hkvnl9x6t8/a=
s3.amazonaws.com,25,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://s3.amazonaws.com/slideshare-email-assets/framework/emai=; https://s3.amazonaws.com/slideshare-email-assets/header-bg.jpg; https://s3.amazonaws.com/slideshare-email-assets/=
click.fourhourmail.com,25,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://click.fourhourmail.com/5qud3zmq3qu7h3m763al/n2hohvhod97pl8u6/aHR0cH=; https://click.fourhourmail.com/5qud3zmq3qu7h3m763al/7qh7h8h4g2n7n3cz/aHR0cH=; https://click.fourhourmail.com/5qud3zmq3qu7h3m763al/wnh2hghoz20pl4f7/aHR0cH=
url6878.bubble.io,24,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://url6878.bubble.io/ls/click?upn=3DxH7MOmXPF0zTxC4%3D; http://url6878.bubble.io/ls/click?upn=3DxH7MOmXPF0zTxC4eIi-2FUT9QywU-2F8m0%3D; http://url6878.bubble.io/ls/=
graphitefinancial.com,24,0.25,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://graphitefinancial.com/workshop/; https://graphitefinancial.com/workshop/); https://graphitefinancial.com/startup-pitch/)
email.mg2.substack.com,23,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://email.mg2.substack.com/c/eJwtkdGO4yAMRb9m8kZFIAnpAw_zMr8RmeBpPJtA=; https://email.mg2.substack.com/c/eJwlUMuOhCAQ_Bo5mgYV9cBhL_MbBq=; https://email.mg2.substack.com/c/eJwlUEuOwyAMPU=
www.linkedin.com,22,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.linkedin.com/Slidebean; https://www.linkedin.com/Slidebean; https://www.linkedin.com/company/11822151/admin/)
stripe-images.s3.amazonaws.com,20,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://stripe-images.s3.amazonaws.com/emails/=; https://stripe-images.s3.amazonaws.com/notific=; https://stripe-images.s3.amazonaws.com/emails/receipt_assets/card/mas=
www.=,20,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.=; http://www.=; https://www.=
zoom.us,20,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://zoom.us/j/6250406044; https://zoom.us/j/6250406044; https://zoom.us/j/6250406044
linkmktg.cutimes.com,19,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://linkmktg.cutimes.com/click/20927536.3277/aHR0cHM6Ly93d3cu=; https://linkmktg.cutimes.com/click/20927536.3277/aHR0cH=; https://linkmktg.cutimes.com/click/20927536.3277/aHR0cDovL2N1=
www.slideshare.net,18,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.slideshare.net/who-to-follow-on-slideshare?contactee=3D%3D; https://www.slideshare.net/na=; http://www.slideshare.net/who-to-follow-on-slideshare?contactee=3D%3D
zeroqode.com,18,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://zeroqode.com/native; https://zeroqode.com/courses; https://zeroqode.com/plugins/
coachingnocodeapps.acemlna.com,16,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://coachingnocodeapps.acemlna.com/lt.php?s=3Decc5188029db0fdd09fbe%3D; http://coachingnocodeapps.acemlna.com/proc.php?nl=3D4&c=3D194; https://coachingnocodeapps.acemlna.com/lt.php?nl=3D4&c=3D194&m=3D224
el2.convertkit-mail4.com,16,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://el2.convertkit-mail4.com/c/xmu37448ms6hxm0z8s6/m2h7h5hnr8l7d6/aHR0c=; https://el2.convertkit-mail4.com/c/xmu37448ms6hxm0z8s6/kkhxe8p7i6h97lo3k2/a=; https://el2.convertkit-mail4.com/c/xmu37448ms6hxm0z8s6/9qhzhnh27pelop/aHR0c=
coachingnocodeapps.com,15,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://coachingnocodeapps.com; https://coachingnocodeapps.com/built-to-scale...; https://coachingnocodeapps.com/built-to-scale
eventing.coursera.org,15,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://eventing.coursera.org/redirectSigned/eyJ=; https://eventing.coursera.org/redirectSigned/eyJrZXkiOiJlbWF=; https://eventing.coursera.org/redirectSigned/eyJrZXkiOiJlbWFpbC5saW5rLm=
urldefense.com,15,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://urldefense.com/v3/__https:/glo=; https://urldefense.com/v3/__https:/global.gotowebina=; https://urldefense.com/v3/__https:/attendee.gotowebinar.co=
=,14,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://=; https://=; https://=
section4.activehosted.com,14,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://section4.activehosted.com/proc.php?nl=2&amp%3Bc=595&amp%3Bm=705&amp%3Bs=e59751a47306668d343733e63cd99b32&amp%3Bact=unsub; http://section4.activehosted.com/proc.php?nl=2&amp%3Bc=876&amp%3Bm=992&amp%3Bs=e59751a47306668d343733e63cd99b32&amp%3Bact=unsub; http://section4.activehosted.com/proc.php?nl=2&amp%3Bc=985&amp%3Bm=1114&amp%3Bs=e59751a47306668d343733e63cd99b32&amp%3Bact=unsub
dashboard.coachingnocodeapps.com,13,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://dashboard.coachingnocodeapps.com/built-to-scale; https://dashboard.coachingnocodeapps.com/bts-office-hours-calendar; https://dashboard.coachingnocodeapps.com/bts-office-hours-calendar
www.youtube.com,13,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.youtube.com/watch?v=3D_BLcKX%3D; https://www.youtube.com/watch?v=3D_BLcKXre-AQ; https://www.youtube.com/watch?v=3DyzR36izK2As%3D0A
www.epsilontheory.com,13,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.epsilontheory.com/; https://www.epsilontheory.com/the-green-protocol-a-new-vision-for-=; https://www.epsilontheory.com/in-praise-of-bitcoin/=0D=
click.convertkit-mail2.com,13,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://click.convertkit-mail2.com/k0uxxvkmrds2unq2xzfl/n2hohvhod0r5dza6/aH=; https://click.convertkit-mail2.com/k0uxxvkmrds2unq2xzfl/48hvheh2o8gqoxux/aH=; https://click.convertkit-mail2.com/27un957n02s9ud3dpls3/p8h8wdrktqu9lgm5k4f=
t.e2ma.net,12,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://t.e2ma.net/click/jlkrkn/nwnsx3w/jd6ezkg); https://t.e2ma.net/click/jlkrkn/nwnsx=; https://t.e2ma.net/click/jlkrkn/nwnsx3w/fy7ezkg)
therapackelawgroup.acemlna.com,11,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://therapackelawgroup.acemlna.com/proc.php?nl=12&c=62&m=127&s=d2f60c417eecb32534391d80e39b8c09&act=unsub; https://therapackelawgroup.acemlna.com/lt.php?s=d2f60c417eecb32534391d80e39b8c09&i=62A127A12A338; https://therapackelawgroup.acemlna.com/lt.php?s=d2f60c417eecb32534391d80e39b8c09&i=100A225A12A516
clicks.aweber.com,11,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://clicks.aweber.com/y/ct/?l=3DBZK4a&m=3D3zq.QZ.cdnKeOhO&b=3Dle8cl6_3S%3D; https://clicks.aweber.com/y/ct/?l=3DBZK4a&m=3D3zq.QZ.cdnKeOhO&b=3DincFib1xH%3D; https://clicks.aweber.com/y/ct/?l=3DBZK4a&m=3D3zq.QZ.cdnKeOhO&b=3DX_zNkRkC_%3D
fonts.googleapis.com,10,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://fonts.googleapis.com/=; https://fonts.googleapis.com/=; https://fonts.googleapis.com/=
w=,10,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://w=; http://w=; http://w=
fi.co,10,0.5,0.022727272727272728,0.5,Medium value domain requiring human assessment,NORMAL,https://fi.co/insight/black-american-startup-resource-list-200-accelerator=; https://fi.co/startupwebinar/458); https://fi.co/events)
cdn.slidesharecdn.com,10,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://cdn.slidesharecdn.com/ss_thumbnails/25pric=; http://cdn.slidesharecdn.com/profile-photo-nasscom-emerge-96x96.jpg; https://cdn.slidesharecdn.com/ss_thumbnails/10chal=
techcrunch.com,10,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://techcrunch.com/extracrunch/; https://techcrunch.com/2019/09/25/inside-the-venture-capital-recruiting-pr=; https://techcrunch.com/2020/02/14/the-six-strategic-stages-of-seed-fundrai=
wp.me,10,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://wp.me/pbRvtl-6yj; https://wp.me/pbRvtl-6yn; https://wp.me/pbRvtl-6ym
trello.com,9,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://trello.com/b/lWLmJQ6D/mingus-trello-board; https://trello.com/b/lWLmJQ6D/mingus-trello-board; https://trello.com/b/lWLmJQ6D/mingus-trello-board
email.slidesharecdn.com,9,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://email.slidesharecdn.com/fra=; http://email.slidesharecdn.com/framework/email-body-bg.png); http://email.slidesharecdn.com/framework=
el2.convertkit-mail.com,9,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://el2.convertkit-mail.com/c/k0u050e2lpt6h48w4qfl/08hwh9h73g4249/aHR0c=; https://el2.convertkit-mail.com/c/92ug2eklzpfnhn9rpph9/kkhmh6h9xrdgm7/aHR0c=; https://el2.convertkit-mail.com/c/92ug2eklzpfnhn9rpph9/6qheh8h29zkvo4/aHR0c=
click.convertkit-mail.com,9,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://click.convertkit-mail.com/lmuk9k4lgpbmhql833f6/x0hph6h7g5l826a5/aHR=; https://click.convertkit-mail.com/lmuk9k4lgpbmhql833f6/dpheh0h73lmz69bm/aHR=; https://click.convertkit-mail.com/8ku9g58wqlsohnnnr0uk/6qheh8hp67g6wdao/aHR=
schema=,9,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://schema=; http://schema=; http://schema=
www.gtalumni.org,9,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.gtalumni.org/s/1481/alumni/19/interi=; https://www.gtalumni.org/s/1481/alumni/19/interior.aspx; https://www.gtalumni.org/s/1481/alumni/19/i=
stripe.com,8,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://stripe.com; https://stripe.com; https://stripe.com
www.priceintelligently.com,8,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.priceintelligently.com/hs/manage-pre=; https://www.priceintelligently.com/hs/manage-preferences/u=; https://www.priceintelligently.com/e2t/sc2/MmZ-8yklgnWW8f1sc87Gmt3lW98hp_D7=
preferences.convertkit-mail.com,8,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://preferences.convertkit-mail.com/k0u050e2lpt6h48w4qfl; https://preferences.convertkit-mail.com/92ug2eklzpfnhn9rpph9; https://preferences.convertkit-mail.com/68ur4oq4oh8h0r8kwso
unsubscribe.convertkit-mail.com,8,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://unsubscribe.convertkit-mail.com/k0u050e2lpt6h48w4qfl; https://unsubscribe.convertkit-mail.com/92ug2eklzpfnhn9rpph9; https://unsubscribe.convertkit-mail.com/68ur4oq4oh8h0r8kwso
dandapanillc.acemlna.com,8,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://dandapanillc.acemlna.com/lt.php?s=1cb11750353239537d192efb045bae84&i=417A1222A9A6615; https://dandapanillc.acemlna.com/lt.php?s=1cb11750353239537d192efb045bae84&i=417A1222A9A6610; https://dandapanillc.acemlna.com/lt.php?s=1cb11750353239537d192efb045bae84&i=417A1222A9A6613
unsubscribe.convertkit-mail2.com,8,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://unsubscribe.convertkit-mail2.com/k0uxxvkmrds2unq2xzfl; https://unsubscribe.convertkit-mail2.com/27un957n02s9ud3dpls3; https://unsubscribe.convertkit-mail2.com/xmu5p6d06oh3ueo6vri5
mailchi.mp,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://mailchi.mp/0c54875c10aa/how-much-=; https://mailchi.mp/thegatheringspot/tgs-l=; https://mailchi.mp/240416a3f902/how-much-=
www.instagram.com,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.instagram.com/NickMaggiulli/); https://www.instagram.com/founding/; https://www.instagram.com/p/CMz=
bubble.io,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://bubble.io/page?type=3Dpage&name=3Dtest&id=3Dretail-%3D; https://bubble.io/page?name=3Dindex&id=3Dm%3D; https://bubble.io/page?type=3Dpage&name=3Dtest&id=3Dretail-v1
tel.meet,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://tel.meet/rbp-zsij-hxr?pin=3D78906987513%3D; https://tel.meet/ivo-jcgf-kxw; https://tel.meet/ivo-jcgf-kxw?pin=17563981343
vimeo.com,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://vimeo.com/285779781/a885e38b5b; https://vimeo.com/285779781/a885e38b5b=0A; https://vimeo.com/432627344/fcec8741ac
preferences.convertkit-mail2.com,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://preferences.convertkit-mail2.com/k0uxxvkmrds2unq2xzfl; https://preferences.convertkit-mail2.com/xmu5p6d06oh3ueo6vri5; https://preferences.convertkit-mail2.com/mvul3p7xk5s5hlx8vnfm
i.imgur.com,7,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://i.imgur.com/z7SLR4P.png; https://i.imgur.com/gjRUv10.png; https://i.imgur.com/BtkOeiF.png
docs.google.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://docs.google.com/spreadsheets/d/=; https://docs.google.com/spreadshee=; https://docs.google.com/spreadsheets/d/1AdsFG8gWyqRkgDWEBdCsANN5ECZ7OmN-j8Rx4A-shqI/edit
www=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://www=; http://www=; http://www=
www.slideshare.ne=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://www.slideshare.ne=; https://www.slideshare.ne=; http://www.slideshare.ne=
www.slideshar=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.slideshar=; http://www.slideshar=; https://www.slideshar=
www.w3.o=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://www.w3.o=; https://www.w3.o=; http://www.w3.o=
www.slidesh=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.slidesh=; http://www.slidesh=; https://www.slidesh=
u14099064.ct.sendgrid.net,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://u14099064.ct.sendgrid.net/ls/click?upn=xK88SLZsf70CC2PkXuAC32NFtZ8p9OSRugxJNAde7G9ChCxWjdD3eNghpqyHX8X2iP3Q6zgSyY-2Fc2PMlH7SELwRFYNBAAEvu6RIfjauzdlIGaHT9XBGff-2FYDfNIk517ojydSMZYEmyoobzknra4rL0fPfqHM-2FtMuW9Z84fJ7qTZZ3LbeQ7vbKy0ytiBMmG2NckBeVK2qB6nyLt9P8I-2BWQjIIp5hTZleKJqb1nVp-2B7NNWKwdKAFvCuaRyYUbe-2FG-2FcM1RiE527wCeakxC1bZiHYptuWz7QGmU6q4Th7CSinlyEniitXkmIs63mEgVLV7-2BUZpd85PveIyL9JgNG9bjOkiEpEqsaPhMILLPkj8WrEPLz1eqDaT3LreTItxuebRP-2FlGqD_-2BUiTGW3WMIVqQhCLqacjDis-2F3R1GE82b7txDLK5Gmx-2Br1dQH0AQxiHTrdRb3qEMLbJawFSnA0Yx3T4OipmrlAcTvpz92Eq10QwuccjiMpCQgfUztWYl5EgvCEbF6hDJ4kJO1smKfpxOMG6zNFfZfjYv0o-2Fc41grxoDQR6p35PneGIEkXLpEb2-2F0Xp-2F3Upu9UhKBxDvWGOh8Obtw-2BGMFfh79sUTLXpsBF-2F3EyEsOQGWE-3D; https://u14099064.ct.sendgrid.net/ls/click?upn=xK88SLZsf70CC2PkXuAC32NFtZ8p9OSRugxJNAde7G9ChCxWjdD3eNghpqyHX8X2iP3Q6zgSyY-2Fc2PMlH7SELwRFYNBAAEvu6RIfjauzdlIGaHT9XBGff-2FYDfNIk517ojydSMZYEmyoobzknra4rL0fPfqHM-2FtMuW9Z84fJ7qTZZ3LbeQ7vbKy0ytiBMmG2NckBeVK2qB6nyLt9P8I-2BWQjIIp5hTZleKJqb1nVp-2B7NNWKwdKAFvCuaRyYUbe-2FG-2FcM1RiE527wCeakxC1bZiHYptuWz7QGmU6q4Th7CSinlyEniitXkmIs63mEgVLV7-2BU6OSupBFqrzXW3U73p72kFJ623tjc7PFzVFHA2gyt7MU-3DrUUB_-2BUiTGW3WMIVqQhCLqacjDis-2F3R1GE82b7txDLK5Gmx-2Br1dQH0AQxiHTrdRb3qEMLbJawFSnA0Yx3T4OipmrlAUMWONpJexrcRAG1-2FCCPXGL0ojCx9QMbTxOG1FwdNUq79aqqa-2BvoDS85QGEuzIUMVOeXuEGA9kvuHuE3Jt7PlPk-2BEJpBhfq4SY2uPZ1aV04EQpgwX-2F2aaAaJ43z9kgEBli5WZRneA1xhNTCidMrUrFA-3D; https://u14099064.ct.sendgrid.net/ls/click?upn=xK88SLZsf70CC2PkXuAC32NFtZ8p9OSRugxJNAde7G9ChCxWjdD3eNghpqyHX8X2iP3Q6zgSyY-2Fc2PMlH7SELwRFYNBAAEvu6RIfjauzdlIGaHT9XBGff-2FYDfNIk517ojydSMZYEmyoobzknra4rL0fPfqHM-2FtMuW9Z84fJ7qTZZ3LbeQ7vbKy0ytiBMmG2NckBeVK2qB6nyLt9P8I-2BWQjIIp5hTZleKJqb1nVp-2B7NNWKwdKAFvCuaRyYUbe-2FG-2FcM1RiE527wCeakxC1bZiHYnhKgvrx8dIWr3GLRwFMAfG5bll4kcfyKiNbFwP2mPtcK7-o_-2BUiTGW3WMIVqQhCLqacjDis-2F3R1GE82b7txDLK5Gmx-2Br1dQH0AQxiHTrdRb3qEMLbJawFSnA0Yx3T4OipmrlAW2BSkC-2BV4vzlnZQXXCQL2t6qA0p6o2Yu-2BeBT-2FDrIdnYdhC95IDB8ylFoK0fabaQLyjjRouoO8K5vvfYBObDCTadgZoIt4Z47T0glvwAORZwVZCbjOtSrdqDVHXs2WMWnAMofXmRL8i0jHSwUQ5b9Q8-3D
cdn-images.mailchimp.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://cdn-images.mailchimp.com/icon=; https://cdn-images.mailchimp.com/icons/soci=; https://cdn-images.mailchimp.com/ic=
un.cr,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://un.cr/autodromointereuropawatch; https://un.cr/jamesbrandmehlvillecarabi; https://un.cr/reigningchampringspuntshi
mindforapps.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://mindforapps.com/our_portfolio; https://mindforapps.com/get_started; https://mindforapps.com/info
sc=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://sc=; http://sc=; http://sc=
calendar.googl=,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://calendar.googl=; https://calendar.googl=; https://calendar.googl=
meet.google.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://meet.google.com/ivo-jcgf-kxw; https://meet.google.com/ivo-jcg=; https://meet.google.com/iiy-kxmg-vai?hs=3D224
github.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://github.com/settings/connections/applications/061fd810c023e6ffec1b; https://github.com/contact; https://github.com/settings/security-log
forms.gorick.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://forms.gorick.com/askgorick); https://forms.gorick.com/askgorick)=; https://forms.gorick.com/askgorick)
pages.awscloud.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://pages.awscloud.com/rs/112-TZM-766/images/Blog_G=; https://pages.awscloud.com/rs/112-TZM-766/images/YouTub=; https://pages.awscloud.com/rs/112-TZM-766/images/Facebo=
www.acquisition.com,6,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.acquisition.com/hs/preferences-center/en/direct; https://www.acquisition.com/e3t/Ctc/W+113/d2wK6Z04=; https://www.acquisition.com/hs/preferences-center/en/page
dashboard.stripe.com,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://dashboard.stripe.com/emails/receipts/pmtrc_1Gj8tPECz=; https://dashboard.stripe.com/emails/receipts/pmtrc_1GvkVQECz=; https://dashboard.stripe.com/emails/receipts/pmtrc_1GgcxmECz=
ofdollarsanddata.us7.list-manage=,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://ofdollarsanddata.us7.list-manage=; https://ofdollarsanddata.us7.list-manage=; https://ofdollarsanddata.us7.list-manage=
ofdollarsanddata.com,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://ofdollarsanddata.com/racial-wea=; https://ofdollarsanddata.com/how-to-save-f=; https://ofdollarsanddata.com/
ofdollarsanddata.us7.list-mana=,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://ofdollarsanddata.us7.list-mana=; https://ofdollarsanddata.us7.list-mana=; https://ofdollarsanddata.us7.list-mana=
ofdollarsanddata.com),5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://ofdollarsanddata.com); http://ofdollarsanddata.com); http://ofdollarsanddata.com)
humbledollar.com=,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://humbledollar.com=; https://humbledollar.com=; https://humbledollar.com=
hu=,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://hu=; https://hu=; https://hu=
humbledollar.c=,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://humbledollar.c=; https://humbledollar.c=; https://humbledollar.c=
www.nytimes.com,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.nytimes.com/2021/05/31/style/metal-de=; https://www.nytimes.com/2=; https://www.nytimes.com/2021/06/02/world/middleeas=
url6515.burritoapps.com,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,http://url6515.burritoapps.com/ls/click=; http://url6515.burritoapps.com/ls/c=; http://url6515.burritoapps.com/ls/click
efiles.webengage.com,5,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://efiles.webengage.com/cdn-cgi/image/q=3D70/images/58add216/tick%20i=; https://efiles.webengage.com/cdn-cgi/image/q=3D70/images/58add21=; https://efiles.webengage.com/cdn=
www.coachingnocodeapps.com,4,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.coachingnocodeapps.com; https://www.coachingnocodeapps.com; https://www.coachingnocodeapps.com
www.w=,4,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.w=; https://www.w=; https://www.w=
www.us1.list-manage.com,4,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://www.us1.list-manage.com/profile?u=3Da67%3D; https://www.us1.list-manage.com/about?u=3Da67c4487fff%3D; https://www.us1.list-manage.com/unsubscribe?u=3Da67c4487%3D
coachin=,4,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://coachin=; https://coachin=; https://coachin=
support.google.com,4,0.5,0.0,0.5,Medium value domain requiring human assessment,NORMAL,https://support.google.com/calendar/answer/37135#=; https://support.google.com/calendar/answer/37135#fo=; https://support.google.com/calendar/answer/37135#forwarding
